sala,freezer,gaveta,caixa,linhas,colunas,posicao,codigo_amostra,paciente_nome,concentracao_ng_ul,material,exame,observacao
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,A1,A0100100049801,Controle extração 06 (Betânia),52.8,DNA,CONTROLE INTERNO NEOGENOMICA,Betânia
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,A2,A0100100063601,CONTROLE NEO 136,6.08,Swab bucal,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,A3,A0100100066301,CONTROLE NEO 147,89,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,A4,A0100100070201,CONTROLE NEO 173,18,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,B1,A0100100049801,Controle extração 06 (Betânia),52.8,DNA,CONTROLE INTERNO NEOGENOMICA,Betânia
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,B2,A0100100063401,CONTROLE NEO 137,4.24,Swab bucal,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,B3,A0100100069201,CONTROLE NEO 157,86,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,C1,A0100100049701,Controle Swab 005,,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,C2,A0100100063001,CONTROLE NEO 138,5.34,Swab bucal,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,C3,A0100100069301,CONTROLE NEO 158,30,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,D1,A0100100050701,Controle extração 09,96.8,DNA,CONTROLE INTERNO NEOGENOMICA,
Pré,-20C (Amostras),Gaveta 1,CONTROLE INTERNO NEOGENOMICA,10,10,D2,A0100100062801,CONTROLE NEO 139,22.4,Swab bucal,CONTROLE INTERNO NEOGENOMICA,
